ID,isHappy
10000,1
10001,0
10002,0
10003,0
10004,0
10005,0
10006,0
10007,1
10008,1
10009,0
10010,0
10011,1
10012,0
10013,0
10014,0
10015,0
10016,0
10017,0
10018,0
10019,0
10020,1
10021,0
10022,1
10023,1
10024,0
10025,1
10026,0
10027,0
10028,0
10029,0
10030,1
10031,1
10032,0
10033,1
10034,1
10035,1
10036,1
10037,1
10038,0
10039,0
10040,1
10041,0
10042,0
10043,0
10044,0
10045,0
10046,1
10047,1
10048,1
10049,1
10050,0
10051,1
10052,1
10053,1
10054,1
10055,1
10056,0
10057,1
10058,0
10059,0
10060,0
10061,1
10062,1
10063,0
10064,0
10065,0
10066,0
10067,0
10068,0
10069,0
10070,0
10071,0
10072,0
10073,1
10074,0
10075,1
10076,1
10077,1
10078,1
10079,1
10080,1
10081,0
10082,0
10083,1
10084,0
10085,0
10086,1
10087,0
10088,0
10089,0
10090,0
10091,0
10092,0
10093,0
10094,0
10095,0
10096,0
10097,0
10098,0
10099,1
10100,1
10101,0
10102,1
10103,1
10104,1
10105,1
10106,0
10107,0
10108,1
10109,1
10110,1
10111,0
10112,1
10113,0
10114,0
10115,0
10116,0
10117,0
10118,0
10119,1
10120,0
10121,0
10122,0
10123,0
10124,0
10125,0
10126,1
10127,0
10128,0
10129,0
10130,1
10131,0
10132,0
10133,0
10134,0
10135,0
10136,1
10137,0
10138,1
10139,1
10140,0
10141,0
10142,1
10143,0
10144,0
10145,1
10146,1
10147,1
10148,0
10149,1
10150,1
10151,0
10152,0
10153,1
10154,0
10155,0
10156,0
10157,0
10158,1
10159,0
10160,0
10161,1
10162,1
10163,0
10164,1
10165,1
10166,0
10167,0
10168,1
10169,0
10170,0
10171,1
10172,1
10173,0
10174,0
10175,1
10176,0
10177,1
10178,0
10179,1
10180,0
10181,0
10182,1
10183,0
10184,1
10185,1
10186,0
10187,1
10188,0
10189,0
10190,0
10191,0
10192,0
10193,0
10194,0
10195,1
10196,1
10197,0
10198,0
10199,1
10200,0
10201,1
10202,0
10203,1
10204,0
10205,0
10206,0
10207,1
10208,1
10209,0
10210,1
10211,0
10212,0
10213,0
10214,0
10215,1
10216,0
10217,1
10218,1
10219,1
10220,0
10221,0
10222,1
10223,1
10224,1
10225,0
10226,1
10227,0
10228,0
10229,0
10230,1
10231,0
10232,0
10233,1
10234,1
10235,0
10236,0
10237,0
10238,0
10239,1
10240,0
10241,0
10242,0
10243,0
10244,0
10245,0
10246,1
10247,1
10248,0
10249,0
10250,0
10251,0
10252,1
10253,1
10254,0
10255,1
10256,0
10257,1
10258,1
10259,1
10260,0
10261,1
10262,0
10263,0
10264,1
10265,0
10266,1
10267,0
10268,0
10269,0
10270,0
10271,0
10272,0
10273,0
10274,1
10275,1
10276,1
10277,0
10278,0
10279,1
10280,0
10281,1
10282,0
10283,0
10284,0
10285,1
10286,1
10287,1
10288,0
10289,1
10290,0
10291,0
10292,0
10293,0
10294,1
10295,0
10296,1
10297,1
10298,0
10299,0
10300,1
10301,0
10302,0
10303,0
10304,0
10305,0
10306,0
10307,0
10308,0
10309,0
10310,1
10311,0
10312,1
10313,1
10314,1
10315,0
10316,1
10317,1
10318,1
10319,1
10320,0
10321,1
10322,1
10323,1
10324,0
10325,0
10326,1
10327,0
10328,0
10329,0
10330,0
10331,0
10332,1
10333,1
10334,1
10335,1
10336,1
10337,1
10338,1
10339,0
10340,0
10341,0
10342,1
10343,0
10344,0
10345,1
10346,1
10347,1
10348,1
10349,0
10350,1
10351,1
10352,0
10353,0
10354,0
10355,0
10356,0
10357,1
10358,0
10359,1
10360,0
10361,0
10362,0
10363,1
10364,0
10365,1
10366,0
10367,0
10368,1
10369,1
10370,0
10371,1
10372,1
10373,0
10374,1
10375,0
10376,1
10377,0
10378,0
10379,1
10380,0
10381,1
10382,0
10383,0
10384,0
10385,1
10386,1
10387,0
10388,1
10389,0
10390,0
10391,1
10392,0
10393,1
10394,0
10395,0
10396,1
10397,0
10398,1
10399,1
10400,1
10401,0
10402,0
10403,0
10404,0
10405,0
10406,0
10407,0
10408,0
10409,0
10410,1
10411,1
10412,1
10413,1
10414,1
10415,1
10416,1
10417,1
10418,0
10419,1
10420,1
10421,1
10422,0
10423,0
10424,0
10425,1
10426,0
10427,1
10428,0
10429,0
10430,0
10431,0
10432,0
10433,0
10434,1
10435,0
10436,0
10437,1
10438,0
10439,0
10440,0
10441,0
10442,1
10443,0
10444,1
10445,0
10446,0
10447,0
10448,1
10449,0
10450,1
10451,0
10452,0
10453,1
10454,0
10455,1
10456,0
10457,0
10458,0
10459,0
10460,0
10461,1
10462,1
10463,1
10464,1
10465,1
10466,0
10467,1
10468,1
10469,0
10470,1
10471,1
10472,0
10473,0
10474,0
10475,1
10476,1
10477,1
10478,0
10479,1
10480,1
10481,1
10482,0
10483,1
10484,1
10485,0
10486,0
10487,1
10488,0
10489,0
10490,1
10491,0
10492,1
10493,1
10494,0
10495,0
10496,1
10497,0
10498,1
10499,0
10500,0
10501,1
10502,0
10503,0
10504,0
10505,1
10506,0
10507,0
10508,0
10509,1
10510,0
10511,0
10512,0
10513,0
10514,1
10515,0
10516,0
10517,0
10518,1
10519,0
10520,0
10521,1
